method,family,x_train,x_infer,imp,elo,n_configs,imputed,imputed_pct
BetaTabPFN,Foundation Model,96.61066579103469,0.7544588009516399,17.47217834423076,1462.0,1.0,False,0.0
CatBoost,Tree-based,1.382082782658015,0.017649330027388742,8.9150598493865,1812.6,1.0,False,0.0
CatBoost,Tree-based,3.683549421738115,0.035792996756703686,9.071664352165978,1807.6,2.0,False,0.0
CatBoost,Tree-based,12.754649796925095,0.05907716161046458,9.182873427860763,1815.8,5.0,False,0.0
CatBoost,Tree-based,23.62959911912905,0.07726217637867007,9.238731405854073,1815.0,10.0,False,0.0
CatBoost,Tree-based,47.37492895290942,0.0947269937640902,9.162103722930674,1823.8,25.0,False,0.0
CatBoost,Tree-based,86.77729710547993,0.11115395943862239,9.132949528332924,1826.7,50.0,False,0.0
CatBoost,Tree-based,167.2712430131073,0.13971939861939656,9.184969152445472,1818.4,100.0,False,0.0
CatBoost,Tree-based,246.0389923703963,0.1540251011819568,9.204786523827867,1814.6,150.0,False,0.0
CatBoost,Tree-based,329.05075313123194,0.16638114459460035,9.22400992479917,1810.8,201.0,False,0.0
ChimeraBoost,Tree-based,0.47897883160115473,0.023387924830118815,12.48839977640049,1662.2,1.0,False,0.0
ChimeraBoost,Tree-based,0.9589536975181837,0.04786711653073629,11.903664124466932,1720.2,2.0,False,0.0
ChimeraBoost,Tree-based,2.3562175890436245,0.1129020180967119,11.618054657845493,1744.9,5.0,False,0.0
ChimeraBoost,Tree-based,4.7221268742289215,0.17710346910688612,11.473343807492926,1758.2,10.0,False,0.0
ChimeraBoost,Tree-based,11.925520358640576,0.24549033666046208,11.38860972164601,1766.5,25.0,False,0.0
ChimeraBoost,Tree-based,23.876897602770455,0.2926890222079797,11.306613311144002,1770.2,50.0,False,0.0
ChimeraBoost,Tree-based,47.75183320297697,0.3120254129614995,11.200376309699129,1777.0,100.0,False,0.0
ChimeraBoost,Tree-based,71.58606156368943,0.3237207715925697,11.157529505522687,1778.2,150.0,False,0.0
ChimeraBoost,Tree-based,95.91691558887598,0.3206222047062701,11.148276880221744,1778.8,201.0,False,0.0
EBM,Tree-based,0.7112587014834086,0.005423073797379131,18.948151443341818,1390.1,1.0,False,0.0
EBM,Tree-based,1.805888096855573,0.01166082767964927,18.13445045241467,1423.0,2.0,False,0.0
EBM,Tree-based,4.5739416590236,0.022699023320909735,17.498088878740184,1450.7,5.0,False,0.0
EBM,Tree-based,9.125088719593155,0.03331359493060592,17.186962178898902,1464.7,10.0,False,0.0
EBM,Tree-based,23.261691012250054,0.05013045834119456,16.875087308834345,1483.3,25.0,False,0.0
